Trip,Date,Year,Island,Sex,n,k,Expected_mean,LC_sigma,MC_sigma,HC_sigma,sqrt_n,means_difference,LC_absZ,MC_absZ,HC_absZ,LC_pdf,MC_pdf,HC_pdf,LC_p_value,MC_p_value,HC_p_value
1/12/2022_Hawaiʻi,2022-01-12,2022,Hawaiʻi,Female,5,342.9,350,50,25,16.7,2.236067977,-7.1,0.317521653,0.635043306,0.950663631,0.624576094,0.737299914,0.737299914,0.750847812,0.525400171,0.525400171
10/8/2019_Molokai,2019-10-08,2019,Molokai,Female,2,400,350,50,25,16.7,1.414213562,50,1.414213562,2.828427125,4.234172342,0.921350396,0.997661133,0.997661133,0.157299207,0.004677735,0.004677735
11/10/2021_Molokai,2021-11-10,2021,Molokai,Female,2,393.7,350,50,25,16.7,1.414213562,43.7,1.236022654,2.472045307,3.700666627,0.891774928,0.993282876,0.993282876,0.216450143,0.013434249,0.013434249
12/1/2024_Maui,2024-12-01,2024,Maui,Female,4,296.0725,350,50,25,16.7,2,-53.9275,2.1571,4.3142,6.458383234,0.984501063,0.999991991,0.999991991,0.030997874,1.60182E-05,1.60182E-05
12/10/2021_Oʻahu,2021-12-10,2021,Oʻahu,Female,2,393.7,350,50,25,16.7,1.414213562,43.7,1.236022654,2.472045307,3.700666627,0.891774928,0.993282876,0.993282876,0.216450143,0.013434249,0.013434249
2/17/2024_Maui,2024-02-17,2024,Maui,Female,3,297.18,350,50,25,16.7,1.732050808,-52.82,1.829738473,3.659476946,5.478258902,0.966355473,0.999873635,0.999873635,0.067289055,0.000252731,0.000252731
2/26/2023_Oʻahu,2023-02-26,2023,Oʻahu,Female,2,349.5,350,50,25,16.7,1.414213562,-0.5,0.014142136,0.028284271,0.042341723,0.505641708,0.511282287,0.511282287,0.988716584,0.977435425,0.977435425
3/23/2024_Kauaʻi,2024-03-23,2024,Kauaʻi,Female,5,304,350,50,25,16.7,2.236067977,-46,2.057182539,4.114365079,6.15922916,0.980165665,0.999980588,0.999980588,0.03966867,3.88247E-05,3.88247E-05
3/30/2024_Maui,2024-03-30,2024,Maui,Female,1,332.74,350,50,25,16.7,1,-17.26,0.3452,0.6904,1.033532934,0.635027991,0.755028662,0.755028662,0.729944019,0.489942677,0.489942677
4/10/2024_Maui,2024-04-10,2024,Maui,Female,5,295.656,350,50,25,16.7,2.236067977,-54.344,2.430337563,4.860675127,7.276459771,0.992457617,0.999999415,0.999999415,0.015084766,1.16986E-06,1.16986E-06
4/13/2021_Maui,2021-04-13,2021,Maui,Female,3,284.31,350,50,25,16.7,1.732050808,-65.69,2.275568351,4.551136702,6.813078895,0.988564071,0.999997332,0.999997332,0.022871857,5.33569E-06,5.33569E-06
5/19/2024_Maui,2024-05-19,2024,Maui,Female,5,299.088,350,50,25,16.7,2.236067977,-50.912,2.276853857,4.553707715,6.816927717,0.988602523,0.999997365,0.999997365,0.022794954,5.27086E-06,5.27086E-06
5/2/2021_Hawaiʻi,2021-05-02,2021,Hawaiʻi,Female,5,308.61,350,50,25,16.7,2.236067977,-41.39,1.851017072,3.702034144,5.541967281,0.967916451,0.999893061,0.999893061,0.064167097,0.000213878,0.000213878
5/28/2023_Maui,2023-05-28,2023,Maui,Female,6,289.9833333,350,50,25,16.7,2.449489743,-60.01666667,2.940204188,5.880408376,8.803006551,0.99836002,0.999999998,0.999999998,0.00327996,4.09255E-09,4.09255E-09
5/29/2021_Hawaiʻi,2021-05-29,2021,Hawaiʻi,Female,1,450.85,350,50,25,16.7,1,100.85,2.017,4.034,6.038922156,0.978152243,0.999972582,0.999972582,0.043695513,5.48353E-05,5.48353E-05
5/29/2021_Maui,2021-05-29,2021,Maui,Female,6,325.9666667,350,50,25,16.7,2.449489743,-24.03333333,1.17738807,2.354776139,3.525113981,0.880479675,0.990733066,0.990733066,0.239040649,0.018533867,0.018533867
