Island,Sex,Trip,n_island,size_difference,mean_FL,Year,Date,scenario
Hawaiʻi,Male,1/12/2022_Hawaiʻi,2,-75.775,149.225,2022,2022-01-12,LC
Hawaiʻi,Male,5/29/2021_Hawaiʻi,1,86.15,311.15,2021,2021-05-29,LC
Hawaiʻi,Male,9/14/2021_Hawaiʻi,8,56.78125,281.78125,2021,2021-09-14,LC
Kauaʻi,Male,3/23/2024_Kauaʻi,8,37,262,2024,2024-03-23,LC
Kauaʻi,Male,6/30/2024_Kauaʻi,3,64.66666667,289.6666667,2024,2024-06-30,LC
Maui,Female,5/28/2023_Maui,6,-60.01666667,289.9833333,2023,2023-05-28,LC
Molokai,Male,5/22/2024_Molokai,3,-37.88666667,187.1133333,2024,2024-05-22,LC
Oʻahu,Male,2/26/2023_Oʻahu,5,113,338,2023,2023-02-26,LC
Oʻahu,Male,9/22/2024_Oʻahu,3,103.6666667,328.6666667,2024,2024-09-22,LC
Hawaiʻi,Female,5/2/2021_Hawaiʻi,5,-41.39,308.61,2021,2021-05-02,MC
Hawaiʻi,Female,5/29/2021_Hawaiʻi,1,100.85,450.85,2021,2021-05-29,MC
Hawaiʻi,Female,9/8/2021_Hawaiʻi,2,69.1,419.1,2021,2021-09-08,MC
Hawaiʻi,Male,1/12/2022_Hawaiʻi,2,-75.775,149.225,2022,2022-01-12,MC
Hawaiʻi,Male,2/19/2024_Hawaiʻi,1,42,267,2024,2024-02-19,MC
Hawaiʻi,Male,3/29/2024_Hawaiʻi,1,-45,180,2024,2024-03-29,MC
Hawaiʻi,Male,5/29/2021_Hawaiʻi,1,86.15,311.15,2021,2021-05-29,MC
Hawaiʻi,Male,7/1/2024_Hawaiʻi,1,33,258,2024,2024-07-01,MC
Hawaiʻi,Male,9/14/2021_Hawaiʻi,8,56.78125,281.78125,2021,2021-09-14,MC
Kauaʻi,Female,3/23/2024_Kauaʻi,5,-46,304,2024,2024-03-23,MC
Kauaʻi,Female,6/30/2024_Kauaʻi,6,-29.83333333,320.1666667,2024,2024-06-30,MC
Kauaʻi,Male,3/23/2024_Kauaʻi,8,37,262,2024,2024-03-23,MC
Kauaʻi,Male,6/30/2024_Kauaʻi,3,64.66666667,289.6666667,2024,2024-06-30,MC
Maui,Female,12/1/2024_Maui,4,-53.9275,296.0725,2024,2024-12-01,MC
Maui,Female,2/17/2024_Maui,3,-52.82,297.18,2024,2024-02-17,MC
Maui,Female,4/10/2024_Maui,5,-54.344,295.656,2024,2024-04-10,MC
Maui,Female,4/13/2021_Maui,3,-65.69,284.31,2021,2021-04-13,MC
Maui,Female,5/19/2024_Maui,5,-50.912,299.088,2024,2024-05-19,MC
Maui,Female,5/28/2023_Maui,6,-60.01666667,289.9833333,2023,2023-05-28,MC
Maui,Male,4/13/2021_Maui,1,54.4,279.4,2021,2021-04-13,MC
Molokai,Female,10/8/2019_Molokai,2,50,400,2019,2019-10-08,MC
Molokai,Male,4/15/2024_Molokai,6,-24.76333333,200.2366667,2024,2024-04-15,MC
Molokai,Male,5/22/2024_Molokai,3,-37.88666667,187.1133333,2024,2024-05-22,MC
Oʻahu,Male,2/26/2023_Oʻahu,5,113,338,2023,2023-02-26,MC
Oʻahu,Male,9/22/2024_Oʻahu,3,103.6666667,328.6666667,2024,2024-09-22,MC
Hawaiʻi,Female,5/2/2021_Hawaiʻi,5,-41.39,308.61,2021,2021-05-02,HC
Hawaiʻi,Female,5/29/2021_Hawaiʻi,1,100.85,450.85,2021,2021-05-29,HC
Hawaiʻi,Female,9/8/2021_Hawaiʻi,2,69.1,419.1,2021,2021-09-08,HC
Hawaiʻi,Male,1/12/2022_Hawaiʻi,2,-75.775,149.225,2022,2022-01-12,HC
Hawaiʻi,Male,2/19/2024_Hawaiʻi,1,42,267,2024,2024-02-19,HC
Hawaiʻi,Male,3/29/2024_Hawaiʻi,1,-45,180,2024,2024-03-29,HC
Hawaiʻi,Male,5/29/2021_Hawaiʻi,1,86.15,311.15,2021,2021-05-29,HC
Hawaiʻi,Male,7/1/2024_Hawaiʻi,1,33,258,2024,2024-07-01,HC
