Date,obs_FL,Sex,Island,Trip,Year,Month
2019-10-08,400,Female,Molokai,10/8/2019_Molokai,2019,10
2019-10-08,400,Female,Molokai,10/8/2019_Molokai,2019,10
2021-04-13,279.4,Male,Maui,4/13/2021_Maui,2021,04
2021-04-13,279.4,Female,Maui,4/13/2021_Maui,2021,04
2021-04-13,285.75,Female,Maui,4/13/2021_Maui,2021,04
2021-04-13,287.78,Female,Maui,4/13/2021_Maui,2021,04
2021-05-02,311.15,Female,Hawaiʻi,5/2/2021_Hawaiʻi,2021,05
2021-05-02,304.8,Female,Hawaiʻi,5/2/2021_Hawaiʻi,2021,05
2021-05-02,304.8,Female,Hawaiʻi,5/2/2021_Hawaiʻi,2021,05
2021-05-02,304.8,Female,Hawaiʻi,5/2/2021_Hawaiʻi,2021,05
2021-05-02,317.5,Female,Hawaiʻi,5/2/2021_Hawaiʻi,2021,05
2021-05-29,406.4,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,355.6,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,304.8,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,279.4,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,304.8,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,304.8,Female,Maui,5/29/2021_Maui,2021,05
2021-05-29,450.85,Female,Hawaiʻi,5/29/2021_Hawaiʻi,2021,05
2021-05-29,311.15,Male,Hawaiʻi,5/29/2021_Hawaiʻi,2021,05
2021-09-08,419.1,Female,Hawaiʻi,9/8/2021_Hawaiʻi,2021,09
2021-09-08,419.1,Female,Hawaiʻi,9/8/2021_Hawaiʻi,2021,09
2021-09-14,355.6,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,330.2,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,317.5,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,330.2,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,374.65,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,330.2,Female,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,266.7,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,234.95,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,317.5,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,285.75,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,292.1,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,260.35,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,311.15,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-09-14,285.75,Male,Hawaiʻi,9/14/2021_Hawaiʻi,2021,09
2021-11-10,381,Female,Molokai,11/10/2021_Molokai,2021,11
2021-11-10,406.4,Female,Molokai,11/10/2021_Molokai,2021,11
2021-12-10,381,Female,Oʻahu,12/10/2021_Oʻahu,2021,12
