Date,Island,Day_of_year,Spawn_evidence
2019-10-08,Molokai,281,Yes
2019-10-08,Molokai,281,Yes
2020-10-15,Molokai,289,Yes
2020-10-15,Molokai,289,No
2020-10-15,Molokai,289,Yes
2020-10-15,Molokai,289,Yes
2020-10-15,Molokai,289,No
2020-10-15,Molokai,289,Yes
2021-05-25,Molokai,145,Yes
2021-05-25,Molokai,145,Yes
2021-10-03,Molokai,276,No
2021-10-03,Molokai,276,No
2021-10-03,Molokai,276,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
2021-11-10,Molokai,315,No
